"","Country","State","Species","count"
"1","China","Yunnan","Xylaria striata",1
"2","Martinique","Case_Pilote","Xylaria necrophora",1
"3","Taiwan",NA,"Xylaria arbuscula",1
"4","Taiwan",NA,"Xylaria arbuscula.var.plenofissura",1
"5","Thailand","Surat_Thani","Xylaria bambusicola",1
"6","USA","AL","Xylaria necrophora",26
"7","USA","AR","Xylaria necrophora",35
"8","USA","FL","Xylaria arbuscula",1
"9","USA","FL","Xylaria necrophora",2
"10","USA","HI","Xylaria arbuscula",2
"11","USA","HI","Xylaria venosula",1
"12","USA","LA","Xylaria arbuscula",1
"13","USA","LA","Xylaria necrophora",54
"14","USA","MO","Xylaria necrophora",1
"15","USA","MS","Xylaria necrophora",37
"16","USA","TN","Xylaria necrophora",10
